profile,scenario_id,metric,item_id,gold,predicted,verdict,coverage_status,log_path,review_note
full,G3_14,GoalAlign,goal_atom_1,recognizes broken-light trigger as permanently infeasible,Asked which light instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_14/run_G3_14.md,Asked which light instead of identifying the broken trigger.
full,G3_15,GoalAlign,goal_atom_1,recognizes broken-stove trigger as permanently infeasible,Asked about ingredients instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_15/run_G3_15.md,Asked about ingredients instead of identifying the broken trigger.
full,G4_16,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_16/run_G4_16.md,Final adopted goal matches the gold atom.
full,G4_17,GoalAlign,goal_atom_1,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_17/run_G4_17.md,Final adopted goal matches the gold atom.
full,G4_18,GoalAlign,goal_atom_1,tv is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G4_18.md,Final adopted goal matches the gold atom.
full,G4_19,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_19/run_G4_19.md,Final adopted goal matches the gold atom.
full,G4_20,GoalAlign,goal_atom_1,character HOLDS pourable,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_20/run_G4_20.md,Final adopted goal matches the gold atom.
full,G4_20,GoalAlign,goal_atom_2,pourable is FILLED_JUICE,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_20/run_G4_20.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_01,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_01/run_T3_without_goal_reasoning_G1_01.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_02,GoalAlign,goal_atom_1,character HOLDS apple,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_02/run_T3_without_goal_reasoning_G1_02.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_02,GoalAlign,goal_atom_2,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_02/run_T3_without_goal_reasoning_G1_02.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_03,GoalAlign,goal_atom_1,character HOLDS remotecontrol,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_03/run_T3_without_goal_reasoning_G1_03.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_04,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_04/run_T3_without_goal_reasoning_G1_04.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_05,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_05/run_T3_without_goal_reasoning_G1_05.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G1_05,GoalAlign,goal_atom_2,mug is EMPTY,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_05/run_T3_without_goal_reasoning_G1_05.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G2_06,GoalAlign,goal_atom_1,tablelamp is ON,unreviewable,excluded,missing,,No Markdown execution log is available; episode failure was not used as a proxy.
without_goal_reasoning,G2_07,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,The generic container was not resolved to the cabinet,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_07/run_T3_without_goal_reasoning_G2_07.md,The generic container was not resolved to the cabinet.
without_goal_reasoning,G2_08,GoalAlign,goal_atom_1,character HOLDS milk,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_08/run_T3_without_goal_reasoning_G2_08.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G2_08,GoalAlign,goal_atom_2,milk is HOT,The adopted target omitted or contradicted the requested binding/state,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_08/run_T3_without_goal_reasoning_G2_08.md,The adopted target omitted or contradicted the requested binding/state.
without_goal_reasoning,G2_09,GoalAlign,goal_atom_1,book ON desk,The generic surface was not resolved to the desk,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_09/run_T3_without_goal_reasoning_G2_09.md,The generic surface was not resolved to the desk.
without_goal_reasoning,G2_10,GoalAlign,goal_atom_1,stove is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_10/run_T3_without_goal_reasoning_G2_10.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G3_11,GoalAlign,goal_atom_1,recognizes broken-fridge trigger as permanently infeasible,Asked about a missing object instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_11/run_T3_without_goal_reasoning_G3_11.md,Asked about a missing object instead of identifying the broken trigger.
without_goal_reasoning,G3_12,GoalAlign,goal_atom_1,recognizes missing-bowl trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_12/run_T3_without_goal_reasoning_G3_12.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G3_13,GoalAlign,goal_atom_1,recognizes missing-apple trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_13/run_T3_without_goal_reasoning_G3_13.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G3_14,GoalAlign,goal_atom_1,recognizes broken-light trigger as permanently infeasible,Asked which light instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_14/run_T3_without_goal_reasoning_G3_14.md,Asked which light instead of identifying the broken trigger.
without_goal_reasoning,G3_15,GoalAlign,goal_atom_1,recognizes broken-stove trigger as permanently infeasible,Asked about ingredients instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_15/run_T3_without_goal_reasoning_G3_15.md,Asked about ingredients instead of identifying the broken trigger.
without_goal_reasoning,G4_16,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_16/run_T3_without_goal_reasoning_G4_16.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G4_17,GoalAlign,goal_atom_1,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_17/run_T3_without_goal_reasoning_G4_17.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G4_18,GoalAlign,goal_atom_1,tv is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_18/run_T3_without_goal_reasoning_G4_18.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G4_19,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_19/run_T3_without_goal_reasoning_G4_19.md,Final adopted goal matches the gold atom.
without_goal_reasoning,G4_20,GoalAlign,goal_atom_1,character HOLDS pourable,"The filled object was represented, but the character-holds atom was omitted",incorrect,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_20/run_T3_without_goal_reasoning_G4_20.md,"The filled object was represented, but the character-holds atom was omitted."
without_goal_reasoning,G4_20,GoalAlign,goal_atom_2,pourable is FILLED_JUICE,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_20/run_T3_without_goal_reasoning_G4_20.md,Final adopted goal matches the gold atom.
without_intention,G1_01,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_01/run_G1_01.md,Final adopted goal matches the gold atom.
without_intention,G1_02,GoalAlign,goal_atom_1,character HOLDS apple,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
without_intention,G1_02,GoalAlign,goal_atom_2,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
without_intention,G1_03,GoalAlign,goal_atom_1,character HOLDS remotecontrol,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_03/run_G1_03.md,Final adopted goal matches the gold atom.
without_intention,G1_04,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_04/run_G1_04.md,Final adopted goal matches the gold atom.
without_intention,G1_05,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
without_intention,G1_05,GoalAlign,goal_atom_2,mug is EMPTY,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
without_intention,G2_06,GoalAlign,goal_atom_1,tablelamp is ON,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_06/run_G2_06.md,Final adopted goal matches the gold atom.
without_intention,G2_07,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_07/run_G2_07.md,Final adopted goal matches the gold atom.
without_intention,G2_08,GoalAlign,goal_atom_1,character HOLDS milk,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G2_08.md,Final adopted goal matches the gold atom.
without_intention,G2_08,GoalAlign,goal_atom_2,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G2_08.md,Final adopted goal matches the gold atom.
without_intention,G2_09,GoalAlign,goal_atom_1,book ON desk,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_09/run_G2_09.md,Final adopted goal matches the gold atom.
without_intention,G2_10,GoalAlign,goal_atom_1,stove is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G2_10/run_G2_10.md,Final adopted goal matches the gold atom.
without_intention,G3_11,GoalAlign,goal_atom_1,recognizes broken-fridge trigger as permanently infeasible,Asked about a missing object instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_intention/G3_11/run_T3_without_intention_G3_11.md,Asked about a missing object instead of identifying the broken trigger.
without_intention,G3_12,GoalAlign,goal_atom_1,recognizes missing-bowl trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G3_12/run_T3_without_intention_G3_12.md,Final adopted goal matches the gold atom.
without_intention,G3_13,GoalAlign,goal_atom_1,recognizes missing-apple trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G3_13/run_T3_without_intention_G3_13.md,Final adopted goal matches the gold atom.
without_intention,G3_14,GoalAlign,goal_atom_1,recognizes broken-light trigger as permanently infeasible,Asked which light instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_intention/G3_14/run_T3_without_intention_G3_14.md,Asked which light instead of identifying the broken trigger.
without_intention,G3_15,GoalAlign,goal_atom_1,recognizes broken-stove trigger as permanently infeasible,Asked about ingredients instead of identifying the broken trigger,incorrect,covered,evaluation/results/table3/robostate/runs/without_intention/G3_15/run_T3_without_intention_G3_15.md,Asked about ingredients instead of identifying the broken trigger.
without_intention,G4_16,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G4_16/run_T3_without_intention_G4_16.md,Final adopted goal matches the gold atom.
without_intention,G4_17,GoalAlign,goal_atom_1,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G4_17/run_T3_without_intention_G4_17.md,Final adopted goal matches the gold atom.
without_intention,G4_18,GoalAlign,goal_atom_1,tv is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G4_18/run_T3_without_intention_G4_18.md,Final adopted goal matches the gold atom.
without_intention,G4_19,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G4_19/run_T3_without_intention_G4_19.md,Final adopted goal matches the gold atom.
without_intention,G4_20,GoalAlign,goal_atom_1,character HOLDS pourable,"The filled object was represented, but the character-holds atom was omitted",incorrect,covered,evaluation/results/table3/robostate/runs/without_intention/G4_20/run_T3_without_intention_G4_20.md,"The filled object was represented, but the character-holds atom was omitted."
without_intention,G4_20,GoalAlign,goal_atom_2,pourable is FILLED_JUICE,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_intention/G4_20/run_T3_without_intention_G4_20.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_01,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_01/run_G1_01.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_02,GoalAlign,goal_atom_1,character HOLDS apple,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_02,GoalAlign,goal_atom_2,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G1_02.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_03,GoalAlign,goal_atom_1,character HOLDS remotecontrol,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_03/run_G1_03.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_04,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_04/run_G1_04.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_05,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
without_parameter_binding,G1_05,GoalAlign,goal_atom_2,mug is EMPTY,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G1_05/run_G1_05.md,Final adopted goal matches the gold atom.
without_parameter_binding,G2_06,GoalAlign,goal_atom_1,tablelamp is ON,unreviewable,excluded,missing,,No Markdown execution log is available; episode failure was not used as a proxy.
without_parameter_binding,G2_07,GoalAlign,goal_atom_1,mug INSIDE kitchencabinet,The generic container was not resolved to the cabinet,incorrect,covered,evaluation/results/table3/robostate/runs/without_parameter_binding/G2_07/run_T3_without_parameter_binding_G2_07.md,The generic container was not resolved to the cabinet.
without_parameter_binding,G2_08,GoalAlign,goal_atom_1,character HOLDS milk,The adopted target omitted or contradicted the requested binding/state,incorrect,covered,evaluation/results/table3/robostate/runs/without_parameter_binding/G2_08/run_T3_without_parameter_binding_G2_08.md,The adopted target omitted or contradicted the requested binding/state.
without_parameter_binding,G2_08,GoalAlign,goal_atom_2,milk is HOT,The adopted target omitted or contradicted the requested binding/state,incorrect,covered,evaluation/results/table3/robostate/runs/without_parameter_binding/G2_08/run_T3_without_parameter_binding_G2_08.md,The adopted target omitted or contradicted the requested binding/state.
without_parameter_binding,G2_09,GoalAlign,goal_atom_1,book ON desk,The generic surface was not resolved to the desk,incorrect,covered,evaluation/results/table3/robostate/runs/without_parameter_binding/G2_09/run_T3_without_parameter_binding_G2_09.md,The generic surface was not resolved to the desk.
without_parameter_binding,G2_10,GoalAlign,goal_atom_1,stove is OFF,Final adopted goal matches the gold atom,correct,covered,evaluation/results/table3/robostate/runs/without_parameter_binding/G2_10/run_T3_without_parameter_binding_G2_10.md,Final adopted goal matches the gold atom.
without_parameter_binding,G3_11,GoalAlign,goal_atom_1,recognizes broken-fridge trigger as permanently infeasible,Asked about a missing object instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_11/run_G3_11.md,Asked about a missing object instead of identifying the broken trigger.
without_parameter_binding,G3_12,GoalAlign,goal_atom_1,recognizes missing-bowl trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_12/run_G3_12.md,Final adopted goal matches the gold atom.
without_parameter_binding,G3_13,GoalAlign,goal_atom_1,recognizes missing-apple trigger as permanently infeasible,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_13/run_G3_13.md,Final adopted goal matches the gold atom.
without_parameter_binding,G3_14,GoalAlign,goal_atom_1,recognizes broken-light trigger as permanently infeasible,Asked which light instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_14/run_G3_14.md,Asked which light instead of identifying the broken trigger.
without_parameter_binding,G3_15,GoalAlign,goal_atom_1,recognizes broken-stove trigger as permanently infeasible,Asked about ingredients instead of identifying the broken trigger,incorrect,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G3_15/run_G3_15.md,Asked about ingredients instead of identifying the broken trigger.
without_parameter_binding,G4_16,GoalAlign,goal_atom_1,milk is HOT,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_16/run_G4_16.md,Final adopted goal matches the gold atom.
without_parameter_binding,G4_17,GoalAlign,goal_atom_1,apple is CLEAN,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_17/run_G4_17.md,Final adopted goal matches the gold atom.
without_parameter_binding,G4_18,GoalAlign,goal_atom_1,tv is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_G4_18.md,Final adopted goal matches the gold atom.
without_parameter_binding,G4_19,GoalAlign,goal_atom_1,tablelamp is OFF,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_19/run_G4_19.md,Final adopted goal matches the gold atom.
without_parameter_binding,G4_20,GoalAlign,goal_atom_1,character HOLDS pourable,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_20/run_G4_20.md,Final adopted goal matches the gold atom.
without_parameter_binding,G4_20,GoalAlign,goal_atom_2,pourable is FILLED_JUICE,Final adopted goal matches the gold atom,correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/g_class/G4_20/run_G4_20.md,Final adopted goal matches the gold atom.
full,M1_01,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,remotecontrol(321),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M1_01/run_M1_01.md,First post-hide retry retained instance 321.
full,M1_02,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,no post-hide rebind,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M1_02.md,The waterglass hide trigger never fired.
full,M1_03,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,waterglass(64),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M1_03/run_M1_03.md,First post-hide retry retained instance 64.
full,M1_04,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,pillow(122),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M1_04/run_M1_04.md,First post-hide retry retained instance 122.
full,M1_05,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,milk(176),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M1_05.md,The first post-reappearance target retained instance 176.
full,M2_06,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,waterglass(64),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_06/run_M2_06.md,Selected the dirty waterglass.
full,M2_07,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,apple(113),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_07/run_M2_07.md,Selected the red apple.
full,M2_08,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,apple(113),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_08/run_M2_08.md,Selected the ripe/red apple.
full,M2_09,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,waterglass(64),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_09/run_M2_09.md,Selected the clean waterglass.
full,M2_10,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,pillow(253),correct,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M2_10/run_M2_10.md,Selected the yellow pillow.
full,M3_11,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,not applicable,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_11/run_M3_11.md,M3 has no object-identity binding opportunity under the metric definition.
full,M3_12,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,not applicable,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_12.md,M3 has no object-identity binding opportunity under the metric definition.
full,M3_13,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,not applicable,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_13/run_M3_13.md,M3 has no object-identity binding opportunity under the metric definition.
full,M3_14,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,not applicable,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M3_14/run_M3_14.md,M3 has no object-identity binding opportunity under the metric definition.
full,M3_15,SlotID,first_binding_opportunity,retain/select the state-qualified target instance,not applicable,excluded,covered,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_M3_15.md,M3 has no object-identity binding opportunity under the metric definition.
